feh,mgfe
-1.34715447154472,0.270670391061453
-1.31788617886179,0.598882681564246
-0.771544715447154,0.420111731843576
-0.664227642276423,0.436871508379889
-0.638211382113821,0.400558659217877
-0.638211382113821,0.358659217877095
-0.521138211382114,0.400558659217877
-0.709756097560975,0.241340782122905
-0.553658536585366,0.178491620111732
-0.511382113821138,0.281843575418995
-0.472357723577236,0.259497206703911
-0.449593495934959,0.287430167597766
-0.430081300813008,0.325139664804469
-0.192682926829268,0.262290502793296
-0.459349593495935,0.147765363128492
-0.498373983739837,0.0918994413407822
-0.417073170731707,0.0430167597765364
-0.316260162601626,0.0681564245810057
-0.3,0.108659217877095
-0.251219512195122,0.0430167597765364
-0.254471544715447,0.0122905027932961
-0.14390243902439,0.00251396648044699
-0.0918699186991869,0.00111731843575436
-0.108130081300813,0.0513966480446928
-0.0398373983739837,0.0318435754189945
0.0252032520325201,-0.0296089385474859
0.0284552845528454,-0.0170391061452513
0.0349593495934961,-0.00167597765363114
0.064227642276423,-0.000279329608938506
0.161788617886179,0.00111731843575436
0.0707317073170732,-0.0575418994413407
0.132520325203252,-0.0966480446927374
0.204065040650407,-0.181843575418994
0.0284552845528454,0.0751396648044694
0.236585365853659,0.34050279329609
0.0479674796747966,0.0807262569832403
-1,3
