wave,flux
4749.76025390625,6.98526134770091e-17
4751.01025390625,7.302392761230469e-17
4752.26025390625,7.276148479182545e-17
4753.51025390625,7.157152830542587e-17
4754.76025390625,7.125436703565644e-17
4756.01025390625,7.111095133339486e-17
4757.26025390625,7.148543803145246e-17
4758.51025390625,7.371073477023985e-17
4759.76025390625,7.403168806494736e-17
4761.01025390625,7.37145169551198e-17
4762.26025390625,7.203846584413109e-17
4763.51025390625,7.063070211643125e-17
4764.76025390625,7.062685450111947e-17
4766.01025390625,7.047429424006764e-17
4767.26025390625,7.116020665238543e-17
4768.51025390625,7.247094894409179e-17
4769.76025390625,7.384953836208436e-17
4771.01025390625,7.369620545922256e-17
4772.26025390625,7.271643419219226e-17
4773.51025390625,7.321191276736376e-17
4774.76025390625,7.450143571807117e-17
4776.01025390625,7.489524553996761e-17
4777.26025390625,7.48605965293326e-17
4778.51025390625,7.48750828552246e-17
4779.76025390625,7.424846024303901e-17
4781.01025390625,7.369760250184594e-17
4782.26025390625,7.400461898431545e-17
4783.51025390625,7.298045653924709e-17
4784.76025390625,7.261185991612876e-17
4786.01025390625,7.252617887171303e-17
4787.26025390625,7.159994704455863e-17
4788.51025390625,7.146745041265719e-17
4789.76025390625,7.227557999029391e-17
4791.01025390625,7.34074545697468e-17
4792.26025390625,7.365815791060285e-17
4793.51025390625,7.37979933575886e-17
4794.76025390625,7.471111541375881e-17
4796.01025390625,7.501714558298995e-17
4797.26025390625,7.451772676421375e-17
4798.51025390625,7.299674265419564e-17
4799.76025390625,7.225902928049972e-17
4801.01025390625,7.227469916739114e-17
4802.26025390625,7.282260865746475e-17
4803.51025390625,7.308364625139933e-17
4804.76025390625,7.237777495221394e-17
4806.01025390625,7.171443101836414e-17
4807.26025390625,7.191899468770841e-17
4808.51025390625,7.199175579908418e-17
4809.76025390625,7.209404589769317e-17
4811.01025390625,7.220670560138981e-17
4812.26025390625,7.251743269013194e-17
4813.51025390625,7.294198982797018e-17
4814.76025390625,7.315866225824123e-17
4816.01025390625,7.377633646895246e-17
4817.26025390625,7.366479711020864e-17
4818.51025390625,7.373452777397342e-17
4819.76025390625,7.368366383622331e-17
4821.01025390625,7.35565080633396e-17
4822.26025390625,7.297905857737472e-17
4823.51025390625,7.081103628391172e-17
4824.76025390625,6.970559122597299e-17
4826.01025390625,7.122836482350418e-17
4827.26025390625,7.260397987179639e-17
4828.51025390625,7.202049693409989e-17
4829.76025390625,7.117456528826458e-17
4831.01025390625,7.115151003953886e-17
4832.26025390625,7.119493434999046e-17
4833.51025390625,7.142880998937094e-17
4834.76025390625,7.162545819538395e-17
4836.01025390625,7.162736516068621e-17
4837.26025390625,7.147556235708841e-17
4838.51025390625,7.108962507666611e-17
4839.76025390625,6.977280383226347e-17
4841.01025390625,6.950268836416848e-17
4842.26025390625,6.955160097820003e-17
4843.51025390625,6.973597410620712e-17
4844.76025390625,6.985403145394674e-17
4846.01025390625,7.024997509467891e-17
4847.26025390625,6.96411146210461e-17
4848.51025390625,6.816486235827933e-17
4849.76025390625,6.750037700001786e-17
4851.01025390625,6.809934226059332e-17
4852.26025390625,6.782790670999667e-17
4853.51025390625,6.656742262305282e-17
4854.76025390625,6.436729369372856e-17
4856.01025390625,6.132398893030678e-17
4857.26025390625,5.978361375762195e-17
4858.51025390625,5.826938185901176e-17
4859.76025390625,5.201626985875571e-17
4861.01025390625,4.248338322709246e-17
4862.26025390625,3.8658139626107564e-17
4863.51025390625,4.5727146900456124e-17
4864.76025390625,5.407508083436547e-17
4866.01025390625,5.866921008226348e-17
4867.26025390625,6.157117339343559e-17
4868.51025390625,6.37285448288336e-17
4869.76025390625,6.485255661010741e-17
4871.01025390625,6.330828450272723e-17
4872.26025390625,6.169941274503382e-17
4873.51025390625,6.346371911025628e-17
4874.76025390625,6.633830873442859e-17
4876.01025390625,6.694432134488734e-17
4877.26025390625,6.6628979778755e-17
4878.51025390625,6.642723860950005e-17
4879.76025390625,6.808200922524057e-17
4881.01025390625,6.944226479507074e-17
4882.26025390625,6.877341589206602e-17
4883.51025390625,6.838456026775081e-17
4884.76025390625,6.797248032360542e-17
4886.01025390625,6.705739830203173e-17
4887.26025390625,6.682703804946527e-17
4888.51025390625,6.707347432578482e-17
4889.76025390625,6.663790096748165e-17
4891.01025390625,6.500263921970274e-17
4892.26025390625,6.480786515398723e-17
4893.51025390625,6.818567758327577e-17
4894.76025390625,7.095811598987114e-17
4896.01025390625,7.170094039544827e-17
4897.26025390625,7.178963891006097e-17
4898.51025390625,7.148750395239852e-17
4899.76025390625,7.063584524015101e-17
4901.01025390625,7.015087456679926e-17
4902.26025390625,7.048748291387789e-17
4903.51025390625,6.953341699739782e-17
4904.76025390625,6.921569347102467e-17
4906.01025390625,7.066895458686642e-17
4907.26025390625,7.182178290390386e-17
4908.51025390625,7.094444756484613e-17
4909.76025390625,6.874846608603872e-17
4911.01025390625,6.705788352780226e-17
4912.26025390625,6.799862191176995e-17
4913.51025390625,7.005733527206793e-17
4914.76025390625,7.125059195541753e-17
4916.01025390625,7.188000539640101e-17
4917.26025390625,7.071513550176852e-17
4918.51025390625,6.76046668038717e-17
4919.76025390625,6.474700375440644e-17
4921.01025390625,6.419225571795207e-17
4922.26025390625,6.650151251816168e-17
4923.51025390625,6.745660522833103e-17
4924.76025390625,6.692030989111923e-17
4926.01025390625,6.843546512138553e-17
4927.26025390625,7.063245069178139e-17
4928.51025390625,7.113463016789133e-17
4929.76025390625,7.148665634155273e-17
4931.01025390625,7.159477857264077e-17
4932.26025390625,7.085323101881073e-17
4933.51025390625,6.84805491005502e-17
4934.76025390625,6.692713120623333e-17
4936.01025390625,6.856723063026987e-17
4937.26025390625,6.916686329539229e-17
4938.51025390625,6.699764766786156e-17
4939.76025390625,6.614206237048637e-17
4941.01025390625,6.837340284021889e-17
4942.26025390625,7.084540193883383e-17
4943.51025390625,7.156058993083675e-17
4944.76025390625,7.163981930616426e-17
4946.01025390625,7.073387183584818e-17
4947.26025390625,7.02427657969405e-17
4948.51025390625,7.119606017694241e-17
4949.76025390625,7.142579633759289e-17
4951.01025390625,7.135985137195121e-17
4952.26025390625,7.132821767667444e-17
4953.51025390625,7.104980193719631e-17
4954.76025390625,7.084232468395698e-17
4956.01025390625,7.018072168861948e-17
4957.26025390625,6.640373007425448e-17
4958.51025390625,6.415276812297541e-17
4959.76025390625,6.84087607518638e-17
4961.01025390625,7.166727030312143e-17
4962.26025390625,7.174255814715129e-17
4963.51025390625,7.161862176662538e-17
4964.76025390625,7.149693647803329e-17
4966.01025390625,7.027065027376501e-17
4967.26025390625,6.936732175129215e-17
4968.51025390625,6.9545018612001e-17
4969.76025390625,6.941752796824385e-17
4971.01025390625,6.953399460211032e-17
4972.26025390625,6.998982861030391e-17
4973.51025390625,7.068654362003977e-17
4974.76025390625,7.118638245373237e-17
4976.01025390625,7.158928636132217e-17
4977.26025390625,7.124320997284679e-17
4978.51025390625,6.999636294109066e-17
4979.76025390625,6.904474741865948e-17
4981.01025390625,6.805162316671231e-17
4982.26025390625,6.579125893197409e-17
4983.51025390625,6.314633920436952e-17
4984.76025390625,6.325368758783108e-17
4986.01025390625,6.556253772642554e-17
4987.26025390625,6.841300304505883e-17
4988.51025390625,7.006066576329672e-17
4989.76025390625,6.969765521165801e-17
4991.01025390625,6.830302913758812e-17
4992.26025390625,6.797038932242044e-17
4993.51025390625,6.837775172535966e-17
4994.76025390625,6.861104512656607e-17
4996.01025390625,6.946598515952505e-17
4997.26025390625,7.001663535885695e-17
4998.51025390625,6.953458366580126e-17
4999.76025390625,6.820772213447384e-17
5001.01025390625,6.681275794052496e-17
5002.26025390625,6.636129607782132e-17
5003.51025390625,6.697284749100848e-17
5004.76025390625,6.721531930690859e-17
5006.01025390625,6.494294789011886e-17
5007.26025390625,6.35025072014041e-17
5008.51025390625,6.61326368192347e-17
5009.76025390625,6.869153801150438e-17
5011.01025390625,6.8531698180408e-17
5012.26025390625,6.647732620239258e-17
5013.51025390625,6.460502298122498e-17
5014.76025390625,6.433255487209413e-17
5016.01025390625,6.533359875190548e-17
5017.26025390625,6.572147137525604e-17
5018.51025390625,6.385221633166801e-17
5019.76025390625,6.409478957385551e-17
5021.01025390625,6.656009251664324e-17
5022.26025390625,6.678031746096726e-17
5023.51025390625,6.682356907169992e-17
5024.76025390625,6.760004852667087e-17
5026.01025390625,6.815118138383074e-17
5027.26025390625,6.703313376077792e-17
5028.51025390625,6.624661919198385e-17
5029.76025390625,6.750570938482516e-17
5031.01025390625,6.815692966740305e-17
5032.26025390625,6.84892429184332e-17
5033.51025390625,6.92872696555533e-17
5034.76025390625,6.863903764306045e-17
5036.01025390625,6.646886984848395e-17
5037.26025390625,6.591498933373428e-17
5038.51025390625,6.659660685841629e-17
5039.76025390625,6.532726370090392e-17
5041.01025390625,6.231324157714844e-17
5042.26025390625,6.139558703911014e-17
