wave,flux
4749.76025390625,6.723589664214512e-17
4751.01025390625,6.872712259429356e-17
4752.26025390625,6.746237439655808e-17
4753.51025390625,6.69088145728921e-17
4754.76025390625,6.74451722009047e-17
4756.01025390625,6.671560605261461e-17
4757.26025390625,6.797412105344376e-17
4758.51025390625,6.829027787233747e-17
4759.76025390625,6.927778112562647e-17
4761.01025390625,6.883088195455299e-17
4762.26025390625,6.700141078733049e-17
4763.51025390625,6.761178807557305e-17
4764.76025390625,6.731404960776275e-17
4766.01025390625,6.676163551301776e-17
4767.26025390625,6.756588597366045e-17
4768.51025390625,6.917531823500147e-17
4769.76025390625,7.017804219602189e-17
4771.01025390625,6.949691536957363e-17
4772.26025390625,6.854030183612176e-17
4773.51025390625,6.958861040453642e-17
4774.76025390625,7.100750345021374e-17
4776.01025390625,7.062320983886719e-17
4777.26025390625,7.093919424496057e-17
4778.51025390625,7.102155044498083e-17
4779.76025390625,6.996961085366303e-17
4781.01025390625,7.007845827268205e-17
4782.26025390625,6.975348791043263e-17
4783.51025390625,6.848323472278522e-17
4784.76025390625,6.936876931474793e-17
4786.01025390625,6.803857175661482e-17
4787.26025390625,6.777513190042748e-17
4788.51025390625,6.791269598503832e-17
4789.76025390625,6.804241800790462e-17
4791.01025390625,6.866518507586785e-17
4792.26025390625,6.937014056396484e-17
4793.51025390625,6.962863069584684e-17
4794.76025390625,7.08423485291679e-17
4796.01025390625,7.031059741671581e-17
4797.26025390625,7.047225821901717e-17
4798.51025390625,6.864784491888081e-17
4799.76025390625,6.83284667634784e-17
4801.01025390625,6.924973760065043e-17
4802.26025390625,6.977216368362139e-17
4803.51025390625,6.960523361033313e-17
4804.76025390625,6.786777267168153e-17
4806.01025390625,6.777677459486476e-17
4807.26025390625,6.853571139583947e-17
4808.51025390625,6.811958295023217e-17
4809.76025390625,6.852519119896079e-17
4811.01025390625,6.847161155038509e-17
4812.26025390625,6.893007929388082e-17
4813.51025390625,6.932074757701946e-17
4814.76025390625,6.961076182700103e-17
4816.01025390625,6.999842493481905e-17
4817.26025390625,7.010102933142321e-17
4818.51025390625,6.978990833440816e-17
4819.76025390625,6.98885993180185e-17
4821.01025390625,6.98025171670014e-17
4822.26025390625,6.86090136384784e-17
4823.51025390625,6.676114650740713e-17
4824.76025390625,6.678809570082178e-17
4826.01025390625,6.883970986305093e-17
4827.26025390625,6.937955106915168e-17
4828.51025390625,6.861001574707031e-17
4829.76025390625,6.787741615957585e-17
4831.01025390625,6.794569131757629e-17
4832.26025390625,6.792958737125037e-17
4833.51025390625,6.896515663924306e-17
4834.76025390625,6.892003647368809e-17
4836.01025390625,6.84990816201264e-17
4837.26025390625,6.84138133383697e-17
4838.51025390625,6.783998756379901e-17
4839.76025390625,6.666673142343196e-17
4841.01025390625,6.662295138261903e-17
4842.26025390625,6.759206610337743e-17
4843.51025390625,6.727519267532061e-17
4844.76025390625,6.757574907410819e-17
4846.01025390625,6.764613298524101e-17
4847.26025390625,6.685245203558004e-17
4848.51025390625,6.579438561781397e-17
4849.76025390625,6.60888214088296e-17
4851.01025390625,6.670902641325176e-17
4852.26025390625,6.608117731864497e-17
4853.51025390625,6.46920535738963e-17
4854.76025390625,6.205483879118146e-17
4856.01025390625,6.008357263183593e-17
4857.26025390625,5.961203431903191e-17
4858.51025390625,5.718449281051924e-17
4859.76025390625,4.953070690111844e-17
4861.01025390625,4.047332512794351e-17
4862.26025390625,4.2692622802734376e-17
4863.51025390625,5.176848522258255e-17
4864.76025390625,5.720115544272369e-17
4866.01025390625,6.012526198477116e-17
4867.26025390625,6.257382914877837e-17
4868.51025390625,6.376405925937867e-17
4869.76025390625,6.343657282069945e-17
4871.01025390625,6.092422657056124e-17
4872.26025390625,6.073299086315227e-17
4873.51025390625,6.297485808865528e-17
4874.76025390625,6.494184203640919e-17
4876.01025390625,6.521269822376178e-17
4877.26025390625,6.482673909543596e-17
4878.51025390625,6.444254712835347e-17
4879.76025390625,6.651420594989129e-17
4881.01025390625,6.644334407129828e-17
4882.26025390625,6.589535723876953e-17
4883.51025390625,6.504064001234522e-17
4884.76025390625,6.459508960997383e-17
4886.01025390625,6.39618823173091e-17
4887.26025390625,6.413171020047169e-17
4888.51025390625,6.458105206759471e-17
4889.76025390625,6.333135356399248e-17
4891.01025390625,6.159003897382629e-17
4892.26025390625,6.302573684174159e-17
4893.51025390625,6.668113095495835e-17
4894.76025390625,6.8451364068949e-17
4896.01025390625,6.893803621457658e-17
4897.26025390625,6.886885160626106e-17
4898.51025390625,6.824427431272112e-17
4899.76025390625,6.791299936316148e-17
4901.01025390625,6.763792517205005e-17
4902.26025390625,6.732128640574329e-17
4903.51025390625,6.595510003086306e-17
4904.76025390625,6.635636711494878e-17
4906.01025390625,6.781775240685804e-17
4907.26025390625,6.850160686910377e-17
4908.51025390625,6.775062083233527e-17
4909.76025390625,6.545705812389446e-17
4911.01025390625,6.446871802333617e-17
4912.26025390625,6.575064366639336e-17
4913.51025390625,6.727040233568876e-17
4914.76025390625,6.819158287768094e-17
4916.01025390625,6.853595140565117e-17
4917.26025390625,6.673703119587448e-17
4918.51025390625,6.359792844146153e-17
4919.76025390625,6.144133434828272e-17
4921.01025390625,6.232566236157686e-17
4922.26025390625,6.469484320989645e-17
4923.51025390625,6.492672490073151e-17
4924.76025390625,6.480095599710717e-17
4926.01025390625,6.700525402256227e-17
4927.26025390625,6.818868951416016e-17
4928.51025390625,6.80426387398198e-17
4929.76025390625,6.833513480132481e-17
4931.01025390625,6.891262863101599e-17
4932.26025390625,6.757877436684662e-17
4933.51025390625,6.486446304724351e-17
4934.76025390625,6.527457430166569e-17
4936.01025390625,6.662064814038545e-17
4937.26025390625,6.591494345726157e-17
4938.51025390625,6.419698313702277e-17
4939.76025390625,6.38282734041034e-17
4941.01025390625,6.679256400630159e-17
4942.26025390625,6.814993954295032e-17
4943.51025390625,6.831654845270121e-17
4944.76025390625,6.841156796091908e-17
4946.01025390625,6.754117541043263e-17
4947.26025390625,6.731858230763561e-17
4948.51025390625,6.836731306198408e-17
4949.76025390625,6.858385825333505e-17
4951.01025390625,6.849822549496057e-17
4952.26025390625,6.848782379495873e-17
4953.51025390625,6.8321527311505e-17
4954.76025390625,6.851974876893241e-17
4956.01025390625,6.642126839231095e-17
